Key,Summary,Release Notes,Acceptance Criteria,Priority,Module,Epic
NXT-12394,Accounts - Account Details - Return Check (Multiple Students),,"The user can arrive from the 'More Actions' section of Student Info page

The user sees the fields and data above, matching the mock-up

Process:

* The user is able to see all checks applied to the student account for the current academic year. User is able to select the check from the dropdown list.
* After selection, if there are other related students who received money from the check, they are listed in a table with their individual details
* Additionally, the return check information is listed: Total Check Amount, Previous Balance, Payment Amount Applied, Bonus Amount Applied, and Return Check Fee as they apply to the primary (selected) account
* After selection, if multiple accounts are associated, the information box with populated information should appear.
* The Return Check Fee is the sum of BKCHKFEE and ISDCHKFEE in system settings and is applied to the account that the return check action is performed
* A comment must be entered
* Transaction is entered to reverse the Payment Amount and Bonus on any accounts associated with the original payment. These are to be entered as negative CREDIT entries.
* Transaction is entered to record the fees on the account that the return check action is performed if the Fees are not 0 transaction type is Check Return Fee. Fees should be entered as negative CREDIT entries. Note: Other students will not incur a fee (only balance adjustments).
* The transaction is added to the session to reverse the check transaction type is Return Check. It should be entered as a negative CREDIT transaction.
* The transaction date is the current date/time.
* User can back out of the transaction by selecting 'Close' and/or 'Cancel' to return to Account Info. A prompt should warn the user before exiting to avoid accidental actions.
* The Do not accept check flag is set to false for the account (we should require the user to make a decision to not accept by checking).",,"Account Management, Eligibility",
NXT-12501,Eligibility - Common - Date and Date/Time Format Consistency,,"* Date only should appear as “MM/DD/YYYY” (ex - 03/10/2021)
* Date only should appear as “MM/DD/YYYY hh:mmaa” (ex - 03/10/2021 3:14pm)
* District timezone setting should be applied in all cases 
Setting Codes to be used: DTTIMEZONE, DAYLGTSATE",,Eligibility,
NXT-12532,Direct Certification - DC Precedence - DC Type 'Direct Certification',,‘Direct Certification’ isn’t visible on the DC Precedence page,,Eligibility,
NXT-12558,"Dashboard - Module name, Ordering",,"‘Student Eligibility’ renamed to ‘Eligibility’

Ordering changed to move the pilot modules to the front of the order.",,"Eligibility, Platform",
NXT-13077,[TaggedNotification] - Eligibility - Notifications - Notify Actions (Component Integration),,"Email / Print columns removed.

Selection checkbox row added as the first column with header serving as a select-all / de-select all option.

Notify button added to all grids that ties in the drawer component created in [https://primeroedgenext.atlassian.net/browse/NXT-10916|https://primeroedgenext.atlassian.net/browse/NXT-10916|smart-link] .

Notify button in Application Details updated to use the drawer component also, but with limited options.

All sending functionality needs to be tested - sorting, email, print, household / single.",,Eligibility,
NXT-13342,Direct Certification - Matching - Track exact points allocated at time of matching,,"User can open a historical scorecard and see the exact points given for a matching pass as of that date when the match was processed.

Note added to the scorecard.",,Eligibility,
NXT-13343,Direct Certification - File Details / Matched - Show Scorecard for matched students,,"* User can view the scorecard for an automatically matched student on the following pages:
** Matched → Add the scorecard to the action overlay
** File Details → Students section → Show the same overlay from Matched.",,Eligibility,
NXT-13449,Acct Mgmt - Account Details - History - Track Adult/Allergen changes made through SIS - Testing Only,,"Verify that whenever an adult account is on a file that is imported, their account history page shows a record with any changes made to them based on that file.

Verify that account allergens are added when an allergen import is complete, and that the account history shows those additions as well.",,"Account Management, Eligibility",
NXT-14223,Direct Certification - Trigger Secondary Matching,,Manual updates to student information result in a check for potential / automatic DC matches.,,Eligibility,
NXT-14423,Eligibility - Applications - Form households for students on processed applications,,"Verify that after processing an application with multiple students, the students are all merged into the same (new) household

Verify that if the students were already in separate households, that a new household with all students in it at the time of processing is created

Verify the households are combined in the above scenarios where student households may be impacted (Income Surveys are no included in the scope of this story)",,Eligibility,
NXT-15015,"Acct.Mgmt - Outreach - Add Outreach Center page, migrate Household Letters tab into it",,"* Verify that a user can see the *Outreach* navigation menu item within Account Management
** Verify that the nav-item, URL, page title, and breadcrumbs are as described above
* Verify that the Household Letters tab is removed from Eligibility → Notifications and placed into the Outreach page as a tab
* Verify that the Quick Broadcast and Campaign are added to the Outreach page as blank tabs",,"Account Management, Eligibility",
NXT-15016,Acct.Mgmt - Outreach - Quick Broadcast tab - Create Campaign,,"Verify that the user can now choose between a Quick Broadcast and a Campaign

Verify that when Campaign is selected, the user has scheduling options as described above

Verify that a Campaign can be successfully created with these options

Verify that a Campaign continues sending the message according to the Frequency (interval specified)

Verify that this Campaign does so with a refreshed list, according to the same filters

Verify the rest of the page details (footer, buttons, tabs) are updated accordingly

Verify that campaign messages that get sent are also displayed in the History tab. 

Verify that ‘Campaign Name’ column is added to the History tab as well.",,"Account Management, Eligibility",
NXT-15017,"System - Templates - Add category for Outreach Letter template types, move existing letters",,"* Verify that a new module and corresponding letter type (Outreach Center) are added to the list in System → Templates
* Verify that the Household Letter is moved into this category
* Verify that the Outreach Letter type is created and added to this category
** Verify that the Outreach Letter uses the same format as the General Letter
* Verify that the same changes should be made in the System Notifications page as well",,"Account Management, Eligibility",
NXT-15019,Acct.Mgmt - Outreach - Trigger outreach letter (One-Time/Quick Broadcast),,"Verify that the user can flawlessly trigger a quick broadcast, with the letter immediately being sent to the correct audience.",,"Account Management, Eligibility",
NXT-15025,Verification - Details - Documents / Attachments,,"* Documents section added to the Verification App Details page.
* Shows current documents tied to that application only.
* New documents and comments can be added.
* Documents can be removed.
* Information on the document is shown:
** Document name + extension, size.
** Who uploaded it and when.
** Any associated comments.
* Documents should be sorted by timestamp, latest first.",,Eligibility,
NXT-1505,"Eligibility - Reports - Add Roster tab & grid to allow user to view classic ""Eligibility Roster""",,"Verify that the Roster tab has been added to the Eligibility module as part of Eligibility → Reports

Verify that the Roster tab has the set of filters shown above, with them operating as expected

Verify that when the user hits Apply, a grid populates with the default columns shown in *bold* above

Verify especially that the data is all based on the ‘As of’ filter date

Verify that the user can also show/hide the columns shown in _italics_ above

Verify that the user can field search through as many columns in the grid as possible

Verify that the list can be exported to Excel

Verify that the list has the naming convention defined above",,Eligibility,
NXT-15056,Acct.Mgmt - Outreach - Quick Broadcast -Add page and filters,,"Verify that the Quick Broadcast contains a set of related filters as shown above

Verify that within that list of filters, the user can select any active or inactive Outreach Center template

Verify that there is a footer message showing the number of accounts who will receive the email

Verify that when the Broadcast Message button is selected, the letter emailed out to the list, and the content on the page is reset.

Verify that there is a shortcut button that allows the user to go and edit the template and then return to this page",,"Account Management, Eligibility",
NXT-15058,Direct Certification - Potential Matches - Quick Action drawer,,"* Drawer available that shows high-level potential match information.
** Information segmented into 3 primary categories.
** -If a section results in 0 points, don’t show that section.-
** Total points shown by primary category.
*** Example: Personal Information 57
** Total points shown as ‘Match Points’
* Drawer has a link to the full scorecard analysis.
* Drawer has Match and Mark as Reviewed actions like the scorecard does.
** Comment required for matching.
* Drawer shows student information:
** Photo, full name, student id #, current eligibility + reason, current enrollment site.
* *Unmatched renamed to Potential Matches*
* Reviewed page updated similarly with the drawer available.
** Statuses updated to be Matched and Not Matched.
** Drawer / Scorecard allows the user to take the reverse action.
*** If status = Matched, user can use action ‘Unmatch & Mark as Reviewed’
*** If status = Reviewed, user can user action ‘Match’",,Eligibility,
NXT-15136,Eligibility - Applications - Image for the Original Online Submission,,"* User can pull up an image containing the original app data.
* User can still see the latest application data.
* ‘Application Image’ button should by default show the latest image.
** User can toggle between images and export appropriately.
* Editing an application should not update the original application image.",,Eligibility,
NXT-15309,Verification - Details - More Information Required,,"User can ask a household to submit additional information.

User can enter a custom message that will integrate with the parent portal.

Verification status should update appropriately - if we’re tracking that a ‘response’ has come in, then it should be updated.

Documentation should be retained.

Status should be updated.

History updated with the action taken.",,Eligibility,
NXT-15505,Verification - Automation - Mark applications as 'No Response' automatically at the end of verification,,"User can configure an option to automatically mark apps as no response at the end of verification.

Process uses the Verification End Date setting to determine when to do this. Technically, they have all day on that final day to get a response in, hence the time included.

Process performs the ‘No Response’ action on any apps that do not have a pending response filled in.",,Eligibility,
NXT-15507,Verification - Tracking - Delete application from sample,,"User can delete an application and has the choice to add another application in its place.
Delete option is only available for the current academic year.

Only 5% of applications can be removed, to a minimum of 1 application. (The actual percentage will be controlled by the system setting MAXRMVSAMP.)

Look at the total number of applications pulled, not just a single verification sample in the case of rolling verification.",,Eligibility,
NXT-15508,Elig. - Role Permissions - Entire Module,,"Permissions added for the pages, per the attached confluence link. [https://primeroedgenext.atlassian.net/wiki/spaces/NEXT/pages/2274328577/Permissions|https://primeroedgenext.atlassian.net/wiki/spaces/NEXT/pages/2274328577/Permissions|smart-link]",,Eligibility,
NXT-15618,Verification - Sampling - Actions - Edit Sites and Add Dates,,"User can edit the selected sites. Recalculation needs to happen when the sites are edited. See linked story 5266.

User can add additional sample dates if they are operating under Rolling verification.

If the system is actively calculating a sample for a district, the actions are blocked.",,Eligibility,
NXT-15848,Accounts - Account Info - Make Payments for Multiple Students,,"For each of the Account Action payment options (Cash, Check, Card) verify that:

* The user can add multiple other accounts to receive a share of the payment, if those other accounts are a part of the same household
* The user can indicate the portion of the payment amount that would go toward each account added, with the total amount for all accounts being equal to the total payment amount
* The usual payment validation cases (maximum amounts, no checks, etc.) still apply
* If one or more individual students in the household have checks blocked, disable their Amount fields.
* The user can save the payment and view a created transaction+receipt that applies the payment to each of the accounts listed
* The specific functionality requested above is accessible in *both* the Quick Preview and the full Account Info page.",,"Account Management, Eligibility",
NXT-15894,Verification - Family Portal Integration - Verification Response,,"Family Portal updated for users there to:

* be notified of their verification selection.
* can refuse to respond.
* can respond and attach documents and comments.

Response flows back down to the Eligibility module and is available under Verification Details.",,"Eligibility, Family Hub",
NXT-15895,Verification - Sampling - Snapshot,,"Background mechanism to automate sample creation created and working.
System setting for time added, and used for sample creation.
Future samples should be triggered at the appropriate date.
Past samples should also work properly.

If we're doing this with Rolling Verification in mind, then we need to be sure that we're not oversampling applications - the gathered app number would need to check for a date range starting at the previous sample date + 1, if one exists, up until the new sample date at the timestamp.",,Eligibility,
NXT-16113,"Verification - Sampling - Identifier for ""Final Sample""",,Final Sample is clearly notated on the page.,,Eligibility,
NXT-16308,Verification - Tracking - App. Details - Milestones and History,,"Verification Details updated to show:

* Historical milestone dates.
* App. History

Any notifications from Verification should also be available under Account Management > Accounts > Account Details > Notifications.",,Eligibility,
NXT-16326,Verification - Tracking - Response workflow - Updating Application Info,,"Verification Response questionnaire added.
All outcomes programmed and tracked appropriately.

Eligibility for students on the application must be updated appropriately.",,Eligibility,
NXT-16836,Income Surveys - Range Configuration,,"Verify that the Eligibility Guidelines page is updated to have the Income Survey tab with editable functionality as described above.

Verify that the tab changes based on the system setting.",,Eligibility,
NXT-16953,Applications - Block processing of applications that have gone through Verification,,The only action available for a Verified application is Notify.,,Eligibility,
NXT-16954,Verification - History Tracking for Audit Trail,,"History of actions available on the Sampling page.

History of actions available in-line on the Tracking pages.

‘Application History’ renamed to ‘Notifications and Comments’ on the Verification Details page.",,Eligibility,
NXT-16956,Eligibility - Verification - Add option to shift an app from Sampled to Cause or vice-versa,,"Add the following:

* Selection basis visible with the selection date.
* Add an option inside of Verification Details to let the user shift an app from Sampled → Cause.
** Or from Cause → Sampled.
* Confirmation prompt and a comment required. Add this information to the Comment history.
* Sample gets recalculated after clicking Save.
* Add the switch information to the History of the app in Verification.
* Add role permissions for this button.
* Back button moved and style changed.",,Eligibility,
NXT-17805,Verification - Reports - Tracking Forms - Report,,"Tracking form available for view, print, export.",,Eligibility,
NXT-17806,Verification - Reports - Inactive Applications,,Inactive app list available.,,Eligibility,
NXT-17981,Verification - Reports - Tracking Forms - Print/Export from Grid,,User can print/export the tracking form via the grid actions.,,Eligibility,
NXT-18403,Income Surveys - Add New Survey - Students Step,,"Verify that in the Income Survey page, when a user selects ‘Add New Survey’, the wizard page displays the Students step and stepper UI

Verify that the field and drawer to find or add a student are available, but not necessarily functional

Verify that the wizard shows the steps outlined above",,Eligibility,
NXT-18405,Eligibility - Reports - Income Surveys-Economically Disadvantaged,,"* Verify that a new tab, *Income Surveys*, is added to the Reports page (but only displays based on their setting to show Yes/Mixed surveys)
* Verify that when the tab is selected, the user can select the Site(s) and Date of the report, as well as generate it
** Verify the default selection for ‘Site(s)’ is ‘ALL’ and the ‘Date’ is today’s date by default
* Verify that when the user generates the report, the 'Economically Disadvantaged' report is displaying accurately based on their selections
* Verify that the report is displaying the report option selections in the header and/or footer of the report",,Eligibility,
NXT-18406,Eligibility - Reports - Income Surveys-Income Range Count,,"* Verify that the new Eligibility - Reports - Income Surveys tab has the _Income Range Count_ report option enabled
* Verify that when the option is selected, the user can only select the Site(s). 'Date as of' should be disabled
** Verify the default selection for ‘Site(s)’ is ‘ALL’
* Verify that when the user generates the report, the 'Income Range Count' report is displaying accurately based on their selections
* Verify that the report is displaying the report option selections in the header and/or footer of the report
* Verify that the column data changes based on the income survey eligibility guidelines of the district",,Eligibility,
NXT-18534,Income Surveys - Surveys - Add support for Student Benefits search,,"Verify that both a ‘Benefits’ filter has been added to the Income Surveys page with a default value of ‘All’

Verify that both a ‘Benefits’ column and ‘Info Sharing’ column have been added to the Income Surveys column search

Verify that these columns display any benefits tied to the survey record, and are hidden by default

Verify that when a user applies these options, the grid only shows those surveys where those benefits were accepted or info sharing filter is set to the selected value (even if the columns are hidden).",,Eligibility,
NXT-18546,Income Survey - View Survey Details,,"Verify that when the user goes to the Income Surveys grid, they can find individual surveys with Details icons

Verify that when selecting a Details icon, the user is redirected to the Survey Details for that particular survey

Verify that the Survey Details page displays individual sections with information corresponding to each step of the survey

Verify that the page also shows overall survey number and other details, as well as a side-nav to jump to individual sections on the page

Verify that all buttons/edit buttons/drop-downs are either shown and disabled OR hidden entirely

Verify that the user can go back to the Survey grid-, with any previous filters saved-",,Eligibility,
NXT-18547,Income Survey - Survey Details - Notify Household,,"Verify that a ‘Notify’ button is added to the Survey Details page

Verify that when selected, the button opens the Notification drawer

Verify that a user can print or email a ‘Survey Notice’ for the survey

Verify that when the user prints or emails that notice, the print dialog opens and/or the email goes out.",,Eligibility,
NXT-18605,Verification - History Tracking for backend actions,,"History of backend actions available on the Sampling page.

History of backend actions available in-line on the Tracking pages.",,Eligibility,
NXT-18989,Eligibility - Verification - Collection Report (FNS-742) - Add CEP/P2 Data,,Verify the Collection Worksheet has been updated to accurately display CEP/P2 data.,,Eligibility,
NXT-19085,Income Surveys - Add New Survey - Students Step - Add/Find a Student,,"Verify that in the Income Survey page, when a user selects ‘Add New Survey’, the wizard page displays the Students step

Verify that the Students step contains functions to Find or Add a student

Verify those buttons function as outlined in the requirements above, through the ‘Add a Student’ function

Verify the user can locate and/or add one or more students to the survey using this function

Verify that the Students step of the survey then shows data for those students, if the user adds them

Verify that any potential household members related to (valid) students in the grid are shown and can be linked

Verify that the user can go back and edit (new) students or remove the students they’ve added as well

Verify that the students that the user adds on this step are retained if the user proceeds to the next step and then goes back to this previous step, or vice-versa",,Eligibility,
NXT-19086,Income Surveys - Add New Survey - Household Step,,"Verify that in the Income Survey page, when a user selects ‘Add New Survey’, the wizard page displays

Verify that the user can proceed through the survey and access this step

Verify that the step functions as outlined in the requirements above

Verify that special assistance programs and case number formats are valid according to the district configuration

Verify that household size is validated to be > # of students added to the survey

Verify that income frequency list is based on the district’s eligibility guidelines

Verify that total income amount ranges are based on the income frequency and then based on the district’s eligibility guidelines 

Verify that the selections that the user makes on the step are retained if the user proceeds to the next step and then goes back to this previous step, or vice-versa",,Eligibility,
NXT-19087,Income Surveys - Add New Survey - Details Step,,"Verify that in the Income Survey page, when a user selects ‘Add New Survey’, the wizard page displays

Verify that the user can proceed through the survey and access this step, *IF* the district’s _Show Income Surveys Benefit_ setting value is set to ‘Yes’

Verify that the step functions as outlined in the requirements above

Verify that ethnicity can be indicated, and ‘Not Provided’ is the default selection

Verify that racial identity can be indicated

Verify that the list of optional benefits for the current academic year displays, as long as the other setting value is set to indicate showing of benefits

Verify that this list is hidden or ‘Not Provided’ is shown, if there are no benefits for the current academic year

Verify that information sharing preference can be indicated, and the box is unchecked by default

Verify that if OTHRBENFT is set to ‘No’, we hide just the Race, Ethnicity, and Other Benefits sections (only showing the Info Sharing question)

Verify that *IF* the district’s _Show Income Surveys Benefit_ setting value is set to ‘No’, we +*hide*+ this whole step, even from the stepper. 

Verify that this step is skipped (forwards and backwards) in that case also.

Verify that the selections that the user makes on the step are retained if the user proceeds to the next step and then goes back to this previous step, or vice-versa",,Eligibility,
NXT-19088,Income Surveys - Add New Survey - Contact Info Step,,"Verify that in the Income Survey page, when a user selects ‘Add New Survey’, the wizard page displays

Verify that the user can proceed through the survey and access this step

Verify that the form within the survey contains the fields listed above

Verify that *IF* the user enters a Work Phone Number, we validate it to make sure it has 10-digits and then automatically format the number to display in the (XXX) YYY-ZZZZ format.

Verify that *IF* the user enters a Cell Phone Number, we validate it to make sure it has 10-digits and then automatically format the number to display in the (XXX) YYY-ZZZZ format.

Verify that *IF* the user enters a ZIP Code, we validate it to make sure it has 5-digits.

Verify that *IF* the user enters an Email Address, we validate it to make sure it is a valid email format.

Verify that all fields should be *optional*, and that we should only validate the number fields above if the user enters data into them.

Verify that the selections that the user makes on the step are retained if the user proceeds to the next step and then goes back to this previous step, or vice-versa",,Eligibility,
NXT-19092,Income Surveys - Add New Survey - Review Step,,"Verify that in the Income Survey page, when a user selects ‘Add New Survey’, the wizard page displays

Verify that the user can proceed through the survey and access this step

Verify that the step is display as outlined in the mock-up above

Verify that within each section, we display an edit pencil that will allow the user to go back to that particular step and make changes as needed.

Verify that for the Comments step card, we just display the file name and type of any documents the user has uploaded. It does not need to be a clickable link.

Verify that in addition to the normal Cancel and Back buttons, we display the following buttons at the bottom of the step:

* Pending
** Saves this as a pending survey and returns the user to the Income Surveys grid. 
*** Success toaster: “Pending survey saved successfully.”
* Submit
** Saves this as a complete survey and takes the user to the confirmation/Summary step.",,Eligibility,
NXT-19093,Income Surveys - Add New Survey - Comments Step,,"Verify that in the Income Survey page, when a user selects ‘Add New Survey’, the wizard page displays

Verify that the user can proceed through the survey and access this step

Verify that the step functions as outlined in the requirements above

Verify that the user can associate a language with the survey, based on whatever languages are available in the district.

Verify that the default value for this Languages field is English

Verify that the user can select the date that they are accepting/accepted the survey

Verify that the default value is today’s date, but that any date within the current academic year can be selected

Verify that the user can upload one or more documents that will be attached to the survey, where normal rules apply

Verify that the user can enter a 500-character comment that will be associated with the survey

Verify that the Income Status for the survey displays when the district is using the _Income Range Type_ setting value of ‘USDA Income Range’. Verify that the Income Status is hidden otherwise

Verify that according to the household income/special assistance program details entered by the user, we display the proper income status (Free/Reduced/Paid) based on the USDA guidelines

Verify that the selections that the user makes on the step are retained if the user proceeds to the next step and then goes back to this previous step, or vice-versa",,Eligibility,
NXT-19094,Income Surveys - Add New Survey - Summary,,"Verify that in the Income Survey page, when a user selects ‘Add New Survey’, the wizard page displays

Verify that the user can proceed through the survey and access this step

Verify that the step functions as outlined in the requirements above

Verify that on the step we display a success toast message: _Survey \{\{surveyNumber}} was submitted successfully\!_

Verify that (if possible) we display an image or summary of the steps from the Review page, of the completed survey that can be printed/exported to PDF

Verify that the step displays 2 buttons:

* Add another survey
** Refresh/clear the survey selections
** Return the user to the Students step
* I’m done for now
** Return the user to the main Income Surveys grid/page",,Eligibility,
NXT-19154,Family Hub SC - Apply/Application Template - Add full support for Income Surveys,,"Verify that the Application Template page experience matches Classic SchoolCafé in how it treats districts that can accept Income Surveys

* User can view Income Survey step
* User can view Income Surveys in Review step
* Messages can be edited on both of the above in any language

Verify that the Apply page experience matches Classic SchoolCafé in how it treats districts that can accept Income Surveys

* User can view Income Survey (‘Household’) step
* User can view Income Surveys (‘Household’) in Review step
* All of the above differs based on the setting values and languages selected",,Eligibility,
NXT-19299,System - Management - Templates - Add 'Income Survey Notice' template,,"Verify that in System → Management → Templates, under Eligibility, we’ve added an *Income Survey Notice* template.

Verify that we added default templates for any active languages in the district (though the template itself can be in English for each)

Verify that the content of the notice matches the HTML provided",,Eligibility,
NXT-19302,Eligibility - Applications - Add support for Student Benefits search,,"Verify that both a ‘Benefits’ filter has been added to the Applications page

Verify that both a ‘Benefits’ column and ‘Info Sharing’ column have been added to the applications column search

Verify that these columns display any benefits/info sharing preference tied to the application record, and are hidden by default

Verify that when a user applies these options, the grid only shows those applications where those benefits were accepted or info sharing filter is set to the selected value (even if the columns are hidden).",,Eligibility,
